Latitude,Longitude,Type
41.917565,-87.658385,Beer Garden
41.989436,-87.660413,Beer Garden
41.795283,-87.582075,Dive Bar
41.862798,-87.686185,Bar
41.993971,-87.660355,Bar
41.795213,-87.596806,Dive Bar
41.974013,-87.655196,Gay Bar
41.976114,-87.675529,Dive Bar
41.966953,-87.666934,Rock Club
41.969175,-87.659826,Jazz Club
41.878232,-87.647363,Greek Restaurant
41.852927,-87.624459,Bar
41.978184,-87.657743,Dive Bar
41.851956,-87.631973,Chinese Restaurant
41.981372,-87.674333,Beer Garden
41.968768,-87.660143,Concert Hall
41.976556,-87.668518,Bar
41.732545,-87.585757,Nightclub
41.814244,-87.640802,Bar
41.911647,-87.677566,Sports Bar
41.958255,-87.752347,Nightclub
41.904381,-87.628734,Lounge
41.953528,-87.754884,Bar
41.827187,-87.646178,Bar
41.960129,-87.728519,Bar
41.939759,-87.680893,Music Venue
41.890139,-87.631020,Lounge
41.940873,-87.687747,Bar
41.891927,-87.631041,Jazz Club
41.903912,-87.629361,Bar
41.959601,-87.688575,Pub
41.889976,-87.631080,Bar
41.950254,-87.707791,Karaoke Bar
41.895662,-87.634146,Pub
41.909016,-87.634463,Bar
41.903905,-87.629602,Bar
41.896345,-87.630947,Pub
41.895932,-87.631103,Bar
41.704968,-87.681802,Bar
41.892135,-87.633954,French Restaurant
41.939349,-87.686528,Dive Bar
41.893475,-87.630363,Nightclub
41.700396,-87.681599,Bar
41.695180,-87.681430,Bar
41.891047,-87.647330,Pub
41.893333,-87.629979,Nightclub
41.954023,-87.681981,German Restaurant
41.710760,-87.682113,Sports Bar
41.891676,-87.631019,Pub
41.700301,-87.681599,Pub
41.690743,-87.681350,Bar
41.890519,-87.631149,Mexican Restaurant
41.891186,-87.647057,Bar
41.903283,-87.629163,Bar
41.961128,-87.702383,Pub
41.887966,-87.628908,Music Venue
41.943315,-87.678553,Sports Bar
41.903911,-87.629101,Office
41.903854,-87.629582,Bar
41.970411,-87.728355,Dive Bar
41.901788,-87.628488,Steakhouse
41.954249,-87.680267,Beer Garden
41.911133,-87.637110,Bar
41.911043,-87.635623,Dive Bar
41.893090,-87.633486,Nightclub
41.907750,-87.634513,Italian Restaurant
41.891082,-87.634141,Pub
41.942702,-87.680726,Beer Garden
41.954065,-87.685897,Pub
41.905939,-87.628556,American Restaurant
41.893315,-87.628801,Piano Bar
41.758139,-87.621909,Bar
41.891102,-87.647079,Dive Bar
41.891344,-87.628284,American Restaurant
41.905374,-87.634320,Mexican Restaurant
41.744078,-87.606915,Lounge
41.889190,-87.634402,Bar
41.903850,-87.629431,Bar
41.920009,-87.680221,Dive Bar
41.893525,-87.635425,Nightclub
41.760315,-87.597462,Jazz Club
41.917342,-87.707801,Liquor Store
41.893660,-87.635717,Nightclub
